Day,Detail,Moonphase,Summary,Sunrise,Sunset,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,pressure,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,visibility,windGust,windGustTime,windSpeed
1466186400,partly-cloudy-day,0.41,Partly cloudy until evening.,1466155542,1466209865,0.4,55.4,0.64,0.0,0.0,0.0,1013.27,75.34,1466193600,62.73,1466157600,9.98,10.11,1466190000,1.25
1466272800,partly-cloudy-night,0.44,Partly cloudy overnight.,1466241949,1466296282,0.13,52.79,0.54,0.0,0.0,0.0,1022.5,84.61,1466272800,56.96,1466240400,10.0,7.46,1466287200,0.74
1466359200,partly-cloudy-day,0.47,Partly cloudy in the morning.,1466328358,1466382698,0.28,57.45,0.6,0.0,0.0,0.0,1025.18,85.52,1466355600,63.4,1466330400,10.0,9.36,1466370000,1.23
1466445600,partly-cloudy-day,0.51,Partly cloudy starting in the afternoon.,1466414769,1466469112,0.19,62.41,0.69,0.0,0.0,0.0,1019.22,83.21,1466445600,62.53,1466413200,9.97,8.96,1466452800,1.2
1466532000,partly-cloudy-day,0.54,Partly cloudy throughout the day.,1466501181,1466555523,0.44,57.66,0.49,0.0001,0.0015,0.15,1008.88,86.85,1466539200,72.63,1466510400,10.0,13.11,1466506800,1.91
1466618400,partly-cloudy-day,0.57,"Partly cloudy starting in the afternoon, continuing until evening.",1466587596,1466641933,0.29,52.88,0.47,0.0,0.0,0.0,1009.77,84.56,1466614800,63.39,1466589600,10.0,13.31,1466625600,1.78
1466704800,partly-cloudy-day,0.6,Mostly cloudy throughout the day.,1466674012,1466728341,0.56,59.38,0.63,0.0,0.0,0.0,1011.03,81.61,1466708400,66.52,1466676000,9.99,4.25,1466708400,0.23
1466791200,partly-cloudy-day,0.64,Partly cloudy starting in the afternoon.,1466760430,1466814747,0.16,58.87,0.63,0.0,0.0,0.0,1016.13,80.65,1466787600,66.46,1466758800,9.51,20.8,1466784000,1.89
1466877600,partly-cloudy-night,0.68,Partly cloudy overnight.,1466846850,1466901151,0.04,56.86,0.6,0.0,0.0,0.0,1021.4,82.68,1466881200,62.93,1466848800,9.98,7.47,1466884800,1.05
1466964000,partly-cloudy-day,0.71,"Partly cloudy starting in the afternoon, continuing until evening.",1466933271,1466987553,0.22,57.89,0.59,0.0,0.0,0.0,1022.15,83.92,1466964000,62.73,1466935200,10.0,9.55,1466974800,1.44
1467050400,rain,0.75,Rain overnight.,1467019694,1467073953,0.34,61.41,0.67,0.0035,0.0473,0.98,1017.77,82.87,1467050400,64.01,1467021600,9.67,11.56,1467050400,2.19
1467136800,rain,0.79,Rain overnight.,1467106119,1467160352,0.99,68.15,0.9,0.0099,0.0643,1.0,1013.65,75.02,1467144000,69.34,1467115200,8.48,6.37,1467147600,1.34
1467223200,partly-cloudy-day,0.82,Mostly cloudy until evening.,1467192545,1467246748,0.63,63.75,0.72,0.0036,0.0538,0.71,1011.51,83.01,1467230400,67.53,1467194400,8.96,8.41,1467230400,1.32
1467309600,partly-cloudy-day,0.86,"Partly cloudy starting in the afternoon, continuing until evening.",1467278973,1467333142,0.19,59.2,0.59,0.0,0.0,0.0,1015.44,84.24,1467316800,65.48,1467280800,9.99,7.16,1467320400,0.58
1467396000,rain,0.9,Rain in the evening and overnight.,1467365403,1467419534,0.59,66.21,0.79,0.0155,0.1349,0.93,1014.04,79.11,1467392400,67.18,1467367200,9.62,9.56,1467399600,1.32
1467482400,partly-cloudy-day,0.94,Partly cloudy until evening.,1467451834,1467505924,0.31,56.29,0.62,0.0002,0.0041,0.35,1014.4,76.3,1467496800,64.92,1467453600,9.89,11.74,1467464400,2.85
1467568800,partly-cloudy-day,0.97,"Partly cloudy starting in the afternoon, continuing until evening.",1467538266,1467592312,0.21,55.16,0.56,0.0,0.0,0.0,1018.36,79.3,1467572400,62.32,1467540000,10.0,7.68,1467576000,1.03
1467655200,rain,0.02,Rain overnight.,1467624700,1467678699,0.36,60.9,0.67,0.0017,0.0222,0.85,1016.99,82.86,1467655200,63.44,1467626400,9.68,9.64,1467662400,1.58
1467741600,rain,0.05,Light rain in the morning.,1467711136,1467765083,0.72,69.11,0.78,0.0205,0.1409,1.0,1008.74,87.25,1467756000,69.43,1467691200,8.19,8.12,1467752400,1.08
1467828000,partly-cloudy-day,0.08,Partly cloudy in the afternoon.,1467797572,1467851465,0.15,68.35,0.64,0.0,0.0,0.0,1010.37,90.99,1467828000,72.39,1467799200,10.0,7.34,1467824400,0.77
1467914400,partly-cloudy-day,0.11,Humid and mostly cloudy throughout the day.,1467884010,1467937845,0.39,71.91,0.74,0.0009,0.0092,0.36,1007.99,90.11,1467910800,74.5,1467885600,9.58,8.68,1467914400,0.85
1468000800,partly-cloudy-day,0.15,Humid and mostly cloudy throughout the day.,1467970450,1468024223,0.57,70.52,0.81,0.0013,0.0181,0.61,1008.6,85.58,1467993600,69.96,1468033200,9.2,9.06,1468000800,1.37
